,adult,backdrop_path,genre_ids,id,title,original_language,original_title,overview,popularity,poster_path,release_date,softcore,video,vote_average,vote_count
516,False,/75ooojtgiKYm5LcCczbCexioZze.jpg,[35],660982,American Pie Presents: Girls' Rules,en,American Pie Presents: Girls' Rules,"It's Senior year at East Great Falls. Annie, Kayla, Michelle, and Stephanie decide to harness their girl power and band together to get what they want their last year of high school.",6.7924,/xqvX5A24dbIWaeYsMTxxKX5qOfz.jpg,2020-10-06,False,False,6.113,714
517,False,/tPKmDydEzqJPj5yol2zFCrraUcM.jpg,"[18, 10749]",814338,Lady Chatterley's Lover,en,Lady Chatterley's Lover,"After a crippling injury leaves her husband impotent, Lady Chatterly is torn between her love for her husband and her physical desires. With her husband's consent, she seeks out other means of fulfilling her needs.",6.7237,/aSgl2DxPG3DuQXoaHr500KeULmT.jpg,2022-11-22,False,False,6.7,519
518,False,/4jdduww9j5RyzO4ITRcuBFhqNN1.jpg,[18],965150,Aftersun,en,Aftersun,Sophie reflects on the shared joy and private melancholy of a holiday she took with her father twenty years earlier. Memories fill the gaps between camcorder footages as she tries to reconcile the father she knew with the troubled man she didn't.,6.7069,/evKz85EKouVbIr51zy5fOtpNRPg.jpg,2022-10-21,False,False,7.681,1832
519,False,/tfCNMP37jRX3TOetuce7FLkxNKa.jpg,"[878, 9648, 53, 27]",619730,Don't Worry Darling,en,Don't Worry Darling,"Alice and Jack are lucky to be living in the idealized community of Victory, the experimental company town housing the men who work for the top-secret Victory Project and their families. But when cracks in their idyllic life begin to appear, exposing flashes of something much more sinister lurking beneath the attractive façade, Alice can’t help questioning exactly what they’re doing in Victory, and why.",6.6798,/jOqxKIOC92BVyinYO1Fm73XY7Tc.jpg,2022-09-21,False,False,6.768,2946
520,False,/f9Atch0jlzcOT9RbF8UccqfNOpd.jpg,"[80, 53]",800158,The Killer,en,The Killer,"After a fateful miss, an assassin battles his employers, and himself, on an international manhunt he insists isn't personal.",6.6783,/ipkcgvN7h3yZnbYowthloHLKsf4.jpg,2023-10-25,False,False,6.58,2818
521,False,/akBGSguhkAj1TXOdZUcL11e1hpH.jpg,"[9648, 53]",1249213,Drop,en,Drop,"Violet, a widowed mother on her first date in years, arrives at an upscale restaurant where she is relieved that her date, Henry, is more charming and handsome than she expected. But their chemistry begins to curdle as Violet begins being irritated and then terrorized by a series of anonymous drops to her phone.",6.6404,/hSQPSW8aLjsMBfwqGjgJ6HozTkp.jpg,2025-04-07,False,False,6.3,863
522,False,/4lWr2j3ZSEe8qlt3W3ma8TiiMQB.jpg,"[35, 14, 10751, 27]",531219,Roald Dahl's The Witches,en,Roald Dahl's The Witches,"In late 1967, a young orphaned boy goes to live with his loving grandma in the rural Alabama town of Demopolis. As the boy and his grandmother encounter some deceptively glamorous but thoroughly diabolical witches, she wisely whisks him away to a seaside resort. Regrettably, they arrive at precisely the same time that the world's Grand High Witch has gathered.",6.6304,/ht6EfsM5hrsUPSR4ReJQFDVU71F.jpg,2020-10-26,False,False,6.3,2989
523,False,/zGLQmrmIB56kMZPnzqReIOBay1B.jpg,"[28, 35, 53]",507241,The Killer's Game,en,The Killer's Game,"When top hitman Joe Flood is diagnosed with a terminal illness, he decides to take matters into his own hands – by taking a hit out on himself. But when the very hitmen he hired also target his ex-girlfriend, he must fend off an army of assassin colleagues and win back the love of his life before it's too late.",6.6069,/4bKlTeOUr5AKrLky8mwWvlQqyVd.jpg,2024-09-12,False,False,6.413,550
524,False,/2n7lYEeIbucsEQCswRcVB6ZYmMP.jpg,"[28, 12, 878]",777443,The Electric State,en,The Electric State,"An orphaned teen hits the road with a mysterious robot to find her long-lost brother, teaming up with a smuggler and his wisecracking sidekick.",6.5747,/sI2NiMU8o65hmIMY0JI9CjJ0p7f.jpg,2025-03-07,False,False,6.501,1660
525,False,/97MOhHIgU6ZdLcB9DrAhx3WAqrU.jpg,[18],839369,May December,en,May December,"Twenty years after their notorious tabloid romance gripped the nation, a married couple buckles under the pressure when an actress arrives to do research for a film about their past.",6.5684,/zhV7B610l7hjlri4ywikJ18ONuq.jpg,2023-11-16,False,False,6.6,1029
526,False,/cZmOrIOkJ2SNfVdiO85dUbOAYnL.jpg,"[16, 35]",1012201,HAIKYU!! The Dumpster Battle,ja,劇場版ハイキュー!! ゴミ捨て場の決戦,"Shoyo Hinata joins Karasuno High's volleyball club to be like his idol, a former Karasuno player known as the 'Little Giant'. But Hinata soon learns that he must team up with his middle school nemesis, Tobio Kageyama. Their clashing styles form a surprising weapon, but can their newfound teamwork defeat their rival Nekoma High in the highly anticipated 'Dumpster Battle', the long awaited ultimate showdown between two opposing underdog teams?",6.5629,/ntRU0OA4etGGiMMmH1Yw0bnaMdW.jpg,2024-02-16,False,False,7.7,247
527,False,/1QV5TIM7pVm0wcWthKIAj7cXjbJ.jpg,"[878, 35, 28]",605722,Long Distance,en,Long Distance,"After crash-landing on an alien planet, an asteroid miner must contend with the challenges of his new surroundings, while making his way across the harsh terrain to the only other survivor – a woman who is trapped in her escape pod.",6.5571,/m5NKltgQqqyoWJNuK18IqEGRG7J.jpg,2024-07-12,False,False,6.512,257
528,False,/hYZ4a0JvPETdfgJJ9ZzyFufq8KQ.jpg,"[878, 80, 28]",629176,Samaritan,en,Samaritan,"Thirteen year old Sam Cleary suspects that his mysteriously reclusive neighbor Mr. Smith is actually the legendary vigilante Samaritan, who was reported dead 25 years ago. With crime on the rise and the city on the brink of chaos, Sam makes it his mission to coax his neighbor out of hiding to save the city from ruin.",6.5512,/zgH8Ej50n2cvJCMJrxd4twEwSqz.jpg,2022-08-25,False,False,6.654,2199
529,False,/tleIOY1MS8DIe6v7x6gg7lRCOfA.jpg,"[16, 35, 10751, 12]",774825,The Ice Age Adventures of Buck Wild,en,The Ice Age Adventures of Buck Wild,The fearless one-eyed weasel Buck teams up with mischievous possum brothers Crash & Eddie as they head off on a new adventure into Buck's home: The Dinosaur World.,6.551,/9ginbMWmt9y7PIHW1c9hnbIVWPm.jpg,2022-01-28,False,False,6.6,1825
530,False,/xyS0NgcQ2pbGWcwvSSu3xKEBhoO.jpg,"[10402, 36, 18]",614934,Elvis,en,Elvis,"The life story of Elvis Presley as seen through the complicated relationship with his enigmatic manager, Colonel Tom Parker.",6.5413,/rva3UhKaMeiB0Vej5A2pm1leX7K.jpg,2022-06-22,False,False,7.5,3882
531,False,/pfHvwpKwXeQ7GKD91YFFFBtLLJc.jpg,"[16, 28, 80, 9648]",1047041,Detective Conan: Black Iron Submarine,ja,名探偵コナン 黒鉄の魚影（サブマリン）,"While visiting Hachijo-jima, Conan sneaks aboard a security boat heading to the Pacific Buoy, an off-shore facility constructed near the coasts built to connect surveillance cameras used by police forces around the world. However, an engineer gets abducted! An eerie sound of a propeller hums underwater as a dark figure begins to creep toward Ai Haibara... When the forbidden Black Box is opened, the sealed-away past will surface above the treacherous waves!",6.5382,/ksQ8uNgoWsVH6a0oPB6zx08pOwU.jpg,2023-04-14,False,False,7.0,141
532,False,/rbFqLPKj6D2JyRh5mOfA7jqX0Qk.jpg,"[18, 28, 53]",799882,The Bluff,en,The Bluff,"When her tranquil life on a remote island is shattered by the return of her vengeful former captain, a skilled ex-pirate must confront her bloody past and unleash her deadly talents to save her family from a ruthless siege.",6.5379,/dl1cA7wdwePc9QU2Rc24EPqlcyJ.jpg,2026-02-17,False,False,6.744,133
533,False,/qo2VoL7vyDWKvUejikxrdIFUDIa.jpg,"[35, 10751, 12]",1472638,Buen Camino,it,Buen Camino,"Checco's life is a comfortable and luxurious one, and it couldn't be otherwise, considering he's the only son of Eugenio Zalone, a wealthy sofa manufacturer. Stranded by the pool in his luxurious villas, with an unspecified number of Filipinos serving him, a very young Mexican model as a girlfriend, and vacationing on his yacht with friends who share his passion for not wanting to work; it seems like a truly enviable life, considering he lacks nothing, absolutely nothing. Actually, no. Something is missing. It's his underage daughter, Cristal, named after the famous French sparkling wine, who has suddenly disappeared without a trace. Urgently summoned to Rome by his ex-wife, Linda, he finds himself facing the responsibilities of fatherhood for the first time, trying to find the girl—a very complicated task, considering he knows absolutely nothing about Cristal and her life.",6.5328,/jUiGMecwhYLOwJJqVl1YovRMAFa.jpg,2025-12-25,False,False,6.264,549
534,False,/rhc8Mtuo3Kh8CndnlmTNMF8o9pU.jpg,"[53, 28]",1005331,Carry-On,en,Carry-On,An airport security officer races to outsmart a mysterious traveler forcing him to let a dangerous item slip onto a Christmas Eve flight.,6.5237,/sjMN7DRi4sGiledsmllEw5HJjPy.jpg,2024-12-05,False,False,6.884,2753
535,False,/9ZznETDyfPWVugRiv0jfGrkRftw.jpg,"[35, 18]",937278,A Man Called Otto,en,A Man Called Otto,"When a lively young family moves in next door, grumpy widower Otto Anderson meets his match in a quick-witted, pregnant woman named Marisol, leading to an unlikely friendship that turns his world upside down.",6.5133,/130H1gap9lFfiTF9iDrqNIkFvC9.jpg,2022-12-28,False,False,7.753,3584
536,False,/w1SjvuBifhtFwe3BSssXXFyV6bk.jpg,"[10751, 35, 12, 16, 28]",774370,Dog Man,en,Dog Man,"When a faithful police dog and his human police officer owner are injured together on the job, a harebrained but life-saving surgery fuses the two of them together and Dog Man is born. Dog Man is sworn to protect and serve—and fetch, sit and roll over. As Dog Man embraces his new identity and strives to impress his Chief, he must stop the pretty evil plots of feline supervillain Petey the Cat.",6.5117,/89wNiexZdvLQ41OQWIsQy4O6jAQ.jpg,2025-01-24,False,False,7.445,357
537,False,/eSVu1FvGPy86TDo4hQbpuHx55DJ.jpg,"[28, 12, 878]",700391,65,en,65,"65 million years ago, the only 2 survivors of a spaceship from Somaris that crash-landed on Earth, must fend off dinosaurs to reach the escape vessel in time before an imminent asteroid strike threatens to destroy the planet.",6.5052,/rzRb63TldOKdKydCvWJM8B6EkPM.jpg,2023-03-02,False,False,5.94,2843
